feature,importance
limite_credito,189
fatura_mes1,180
idade,175
pagto_mes3,140
proporcao_pago_3,138
proporcao_pago_1,138
proporcao_pago_5,136
proporcao_pago_4,135
pagto_mes2,131
pagto_mes1,128
proporcao_pago_6,125
pagto_mes4,124
proporcao_pago_2,122
pagto_mes6,116
fatura_mes5,105
fatura_mes6,105
fatura_mes2,103
fatura_mes3,96
pagto_mes5,96
fatura_mes4,95
atraso_0,85
atraso_4,47
atraso_6,45
atraso_3,43
atraso_5,43
atraso_2,42
casamento_Solteiro,30
sexo_Masculino,21
escolaridade_Pós-graduação,21
escolaridade_Universidade,18
escolaridade_Outros,8
casamento_Desconhecido,8
escolaridade_Ensino médio,6
casamento_Outros,6
